Crop,Geolocation,Level,2010 Quarter1,2010 Quarter2,2010 Quarter3,2010 Quarter4,2011 Quarter1,2011 Quarter2,2011 Quarter3,2011 Quarter4,2012 Quarter1,2012 Quarter2,2012 Quarter3,2012 Quarter4,2013 Quarter1,2013 Quarter2,2013 Quarter3,2013 Quarter4,2014 Quarter1,2014 Quarter2,2014 Quarter3,2014 Quarter4,2015 Quarter1,2015 Quarter2,2015 Quarter3,2015 Quarter4,2016 Quarter1,2016 Quarter2,2016 Quarter3,2016 Quarter4,2017 Quarter1,2017 Quarter2,2017 Quarter3,2017 Quarter4,2018 Quarter1,2018 Quarter2,2018 Quarter3,2018 Quarter4,2019 Quarter1,2019 Quarter2,2019 Quarter3,2019 Quarter4,2020 Quarter1,2020 Quarter2,2020 Quarter3,2020 Quarter4,2021 Quarter1,2021 Quarter2,2021 Quarter3,2021 Quarter4,2008-01-15,2008-02-15,2008-03-15,2008-04-15,2008-05-15,2008-06-15,2008-07-15,2008-08-15,2008-09-15,2008-10-15,2008-11-15,2008-12-15,2009-01-15,2009-02-15,2009-03-15,2009-04-15,2009-05-15,2009-06-15,2009-07-15,2009-08-15,2009-09-15,2009-10-15,2009-11-15,2009-12-15,2010-01-15,2010-02-15,2010-03-15,2010-04-15,2010-05-15,2010-06-15,2010-07-15,2010-08-15,2010-09-15,2010-10-15,2010-11-15,2010-12-15,2011-01-15,2011-02-15,2011-03-15,2011-04-15,2011-05-15,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-15,2011-11-15,2011-12-15,2012-01-15,2012-02-15,2012-03-15,2012-04-15,2012-05-15,2012-06-15,2012-07-15,2012-08-15,2012-09-15,2012-10-15,2012-11-15,2013-01-15,2013-02-15,2013-03-15,2013-04-15,2013-07-15,2013-08-15,2014-07-15,2014-09-15,2014-10-15,2014-11-15,2014-12-15,2015-01-15,2015-02-15,2015-03-15,2015-04-15,2015-05-15,2015-06-15,2015-07-15,2015-08-15,2015-09-15,2015-10-15,2015-11-15,2015-12-15,2016-01-15,2016-02-15,2016-03-15,2016-04-15,2016-05-15,2016-06-15,2016-07-15,2016-08-15,2016-09-15,2016-10-15,2016-11-15,2016-12-15,2017-01-15,2017-02-15,2017-03-15,2017-04-15,2017-05-15,2017-06-15,2017-07-15,2017-08-15,2017-09-15,2017-10-15,2017-11-15,2017-12-15,2018-01-15,2018-02-15,2018-03-15,2018-04-15,2018-05-15,2018-06-15,2018-07-15,2018-08-15,2018-09-15,2018-10-15,2018-11-15,2018-12-15,2019-01-15,2019-02-15,2019-03-15,2019-04-15,2019-05-15,2020-05-15,2020-06-15,2020-07-15,2020-08-15,2020-09-15,2020-10-15,2020-11-15,2020-12-15,2021-01-15,2021-02-15,2021-03-15,2021-04-15,2021-05-15,2021-06-15,2021-07-15,2021-08-15,2021-09-15,2021-10-15,2021-11-15,2021-12-15,2022-01-15,2022-02-15,2022-03-15
Banana Lakatan,CORDILLERA ADMINISTRATIVE REGION (CAR),R,844.86,1012.34,1678.52,782.27,836.91,1062.44,1594.89,737.09,807.06,1114.0,1516.11,708.81,927.3,1610.82,1625.41,665.8,628.5,1499.37,1871.18,604.54,659.6,1574.92,1663.37,559.75,649.42,1606.24,1722.36,298.15,421.16,443.51,1793.01,304.63,444.28,451.74,1585.85,254.63,310.25,271.34,1937.63,271.41,363.7,350.72,2298.13,252.56,348.12,309.94,2161.78,208.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.17142857142858,80.57428571428571,77.78,74.5,76.16,74.07285714285715,77.24285714285715,76.87428571428572,87.526,84.53,86.6225,89.315,87.7075,84.4875,79.845,77.825,76.445,79.5,81.74,79.0175,81.5125,82.7075,82.3375
Banana Lakatan,REGION I (ILOCOS REGION),R,240.61,163.96,143.6,382.64,257.15,176.39,141.61,356.8,271.94,183.58,135.63,359.22,265.41,180.93,135.58,362.35,253.34,176.96,134.37,343.29,237.5,168.72,131.34,316.41,222.67,161.78,136.11,286.49,193.73,186.93,140.45,297.85,197.86,193.17,140.19,205.48,179.37,174.25,136.27,195.28,182.71,172.65,141.75,203.26,181.38,157.24,140.67,193.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.546,81.854,77.012,75.312,77.964,79.688,78.11,81.236,77.0,76.85000000000001,74.69,76.565,75.0,75.0,71.875,71.25,72.46000000000001,67.21000000000001,63.71,62.5,63.333333333333336,65.83333333333333,67.5
Banana Lakatan,REGION II (CAGAYAN VALLEY),R,6444.59,18004.55,8612.6,6711.7,4858.54,13863.51,7445.32,3137.31,4481.51,16427.86,9435.1,5007.58,7111.1,19609.02,9568.63,4391.67,6090.85,18090.45,8904.17,5700.91,6456.39,17869.31,8580.85,3977.46,4574.07,17009.6,8824.76,3810.56,2636.63,13636.96,8140.19,4636.38,3535.58,17024.57,8710.48,3129.45,2273.37,14062.53,7961.1,3047.88,2770.71,15601.52,9085.26,3470.11,2802.84,15166.92,9539.85,4052.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.065999999999995,59.4,61.367999999999995,63.013999999999996,63.462,61.306,55.315,55.362,62.160000000000004,59.492000000000004,62.5,62.1875,62.1875,61.875,60.94,63.127500000000005,60.5575,61.3075,61.9425,59.2375,61.095,62.19,62.0325
Banana Lakatan,REGION III (CENTRAL LUZON),R,3294.59,3984.2,2546.83,3374.7,3285.26,4024.64,2563.07,3267.01,3297.6,4089.99,2593.32,3261.78,3211.03,4451.44,2397.88,3108.72,3047.51,4442.83,2493.2,3459.03,3264.06,4554.19,2874.12,3281.85,2762.8,4195.25,2738.86,3247.59,2837.34,4225.31,2854.13,3305.07,2899.27,4258.68,2818.48,3126.76,2978.76,4059.63,2594.32,2656.68,2390.78,3437.74,2591.41,2466.37,2354.03,3296.47,2490.27,2307.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.265,85.25875,83.51625,83.245,83.13875,78.76625,79.39,82.045,82.695,79.57625,78.39428571428572,76.52,76.25285714285714,73.39571428571428,71.87714285714286,70.1542857142857,67.86,68.39714285714285,67.16857142857143,66.27428571428571,69.71714285714286,69.77142857142857,69.52
Banana Lakatan,REGION IV-A (CALABARZON),R,1306.38,3062.6,2844.18,847.2,1315.31,3035.02,2922.85,870.8,1287.16,3100.5,2968.21,903.66,1280.86,3142.59,3120.09,928.24,1194.89,3049.61,2824.08,386.1,571.88,2327.35,2951.64,484.49,1054.01,2204.26,3087.28,501.42,1060.08,2185.77,3416.88,469.59,984.4,2163.09,3568.32,486.47,939.45,1905.68,3354.98,529.58,805.3,1669.91,3239.13,441.42,731.69,1737.43,3161.15,484.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.075,88.37833333333333,87.495,87.04833333333333,84.72333333333333,84.51,82.70166666666667,81.51166666666667,83.835,81.2,83.29333333333334,83.71,83.5,77.08666666666666,76.87666666666667,78.50666666666666,78.08,76.27666666666666,75.23333333333333,73.34666666666668,72.845,72.1575,72.47
Banana Lakatan,MIMAROPA REGION,R,7563.46,9599.1,9751.28,13040.07,7709.52,9949.76,10033.48,14573.73,7531.41,10121.91,10449.44,9048.69,5315.64,7789.37,9494.59,6576.7,4275.67,7370.67,9921.68,6997.06,4417.65,8697.35,10337.94,7664.65,2163.8,3267.97,4882.34,4188.79,1992.95,2924.05,4310.74,4474.96,2074.94,3079.05,5080.51,5627.3,2069.28,3023.06,5969.87,5884.86,1424.94,1828.17,3312.75,2349.33,1659.88,1854.47,4258.34,2334.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.36,83.138,80.078,80.564,80.98400000000001,82.565,82.705,81.93666666666667,102.065,101.2,102.5,101.04333333333334,98.33666666666666,98.54333333333334,101.62666666666667,105.83333333333333,99.16666666666667,98.03666666666668,95.38666666666667,87.84666666666665,88.77666666666666,91.32,88.47333333333334
Banana Lakatan,REGION V (BICOL REGION),R,740.9,1116.82,1161.74,700.45,758.49,1071.7,1185.22,711.54,773.47,1095.28,1209.64,733.77,785.47,1133.61,1266.58,741.22,790.01,1154.82,1045.07,654.15,705.67,1116.07,1141.36,708.84,701.11,1028.91,1200.8,708.53,581.44,828.29,1180.46,682.26,549.74,919.98,1394.72,716.58,527.82,819.46,1494.17,715.71,370.9,717.99,1526.75,595.5,178.51,478.43,943.43,637.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.48714285714286,88.12571428571428,88.13714285714286,82.38142857142857,83.56714285714285,86.56714285714285,82.21666666666667,80.19833333333334,86.652,82.26,82.3475,82.19,80.3125,80.0,80.0,80.1825,77.4625,76.425,77.1775,77.5425,80.602,78.602,76.452
Banana Lakatan,REGION VI (WESTERN VISAYAS),R,5728.13,3643.05,2919.46,6954.81,5852.99,3829.48,3049.59,7025.42,5871.92,3961.73,3141.49,7180.61,5860.63,4019.63,3123.74,6692.11,4059.07,3361.5,2848.71,6974.76,4550.65,3701.37,3063.2,7172.84,4709.39,3769.3,3218.31,7444.54,4865.91,4008.9,3309.77,7564.39,4991.34,4134.17,3389.57,7927.59,5157.76,4227.76,3604.73,8222.88,5281.71,4581.51,3778.27,9154.85,5534.19,5032.05,4082.15,9430.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.09285714285714,77.8157142857143,77.5957142857143,78.33428571428571,77.86,77.7942857142857,77.31285714285715,75.99714285714286,84.602,82.686,83.44,82.14750000000001,82.14750000000001,81.825,81.095,80.5425,79.4875,81.38,80.965,80.48,84.3775,83.8025,83.295
Banana Lakatan,REGION VII (CENTRAL VISAYAS),R,4368.01,3517.67,2745.23,3678.64,4532.37,4653.22,3061.84,4308.98,4771.17,4426.68,3143.52,4185.42,4939.2,4636.29,4064.34,3870.78,4933.01,4708.0,3758.08,4471.4,5006.41,4746.87,4050.89,4972.8,5230.08,3511.08,3281.4,5738.91,5689.63,3916.39,3706.94,5917.27,5676.39,3829.85,3741.01,5827.55,5423.94,3507.18,3215.05,5378.48,5083.48,3420.56,3414.88,6016.22,5251.37,3503.19,3625.94,5751.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21000000000001,82.16,81.388,77.268,74.768,72.515,76.24600000000001,75.41600000000001,77.88,75.66666666666667,76.19,75.125,74.88,73.315,69.13,64.965,66.16499999999999,60.010000000000005,61.334999999999994,58.945,62.19,57.19,55.94
Banana Lakatan,REGION VIII (EASTERN VISAYAS),R,3904.38,5041.16,3574.42,3729.45,3887.05,5096.56,3583.65,3556.43,3947.48,5153.91,3560.07,3560.14,4013.43,5265.25,3218.25,2125.02,3140.61,4658.26,2871.48,1924.94,3198.14,4447.59,2877.67,2068.75,2879.55,3778.49,2932.39,2129.71,2912.22,3738.58,2983.1,2105.8,2872.22,3591.76,2939.11,2053.97,2685.77,3536.78,3052.44,2021.86,2584.46,3438.42,3031.06,2078.68,2757.49,3451.92,3194.13,2027.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.22166666666668,69.00833333333334,70.625,67.78666666666668,66.20833333333333,68.30499999999999,69.05333333333333,70.16666666666667,70.96000000000001,73.886,70.625,70.315,71.2825,73.6275,73.7825,74.43,74.1,74.895,71.075,74.515,70.74199999999999,70.426,70.2
