Crop,geoloc,quarter,percent_production
Abaca (dried raw fiber),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q1,0.01775103964939621
Abaca (dried raw fiber),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q2,0.020019676907369617
Abaca (dried raw fiber),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q3,0.016307597370354508
Abaca (dried raw fiber),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q4,0.016716486108684342
Abaca (dried raw fiber),CORDILLERA ADMINISTRATIVE REGION (CAR),Q1,8.803548849503693e-06
Abaca (dried raw fiber),CORDILLERA ADMINISTRATIVE REGION (CAR),Q2,2.1088061159839673e-05
Abaca (dried raw fiber),CORDILLERA ADMINISTRATIVE REGION (CAR),Q3,2.399189424355092e-05
Abaca (dried raw fiber),CORDILLERA ADMINISTRATIVE REGION (CAR),Q4,2.529150094377737e-05
Abaca (dried raw fiber),MIMAROPA REGION,Q1,0.000356023107974425
Abaca (dried raw fiber),MIMAROPA REGION,Q2,0.0004530368322529334
Abaca (dried raw fiber),MIMAROPA REGION,Q3,0.000433829060203825
Abaca (dried raw fiber),MIMAROPA REGION,Q4,0.0003706072003988083
Abaca (dried raw fiber),REGION I (ILOCOS REGION),Q1,0.0
Abaca (dried raw fiber),REGION I (ILOCOS REGION),Q2,0.0
Abaca (dried raw fiber),REGION I (ILOCOS REGION),Q3,0.0
Abaca (dried raw fiber),REGION I (ILOCOS REGION),Q4,0.0
Abaca (dried raw fiber),REGION II (CAGAYAN VALLEY),Q1,0.0
Abaca (dried raw fiber),REGION II (CAGAYAN VALLEY),Q2,0.0
Abaca (dried raw fiber),REGION II (CAGAYAN VALLEY),Q3,0.0
Abaca (dried raw fiber),REGION II (CAGAYAN VALLEY),Q4,0.0
Abaca (dried raw fiber),REGION III (CENTRAL LUZON),Q1,0.00023083756659767718
Abaca (dried raw fiber),REGION III (CENTRAL LUZON),Q2,0.000342313685052
Abaca (dried raw fiber),REGION III (CENTRAL LUZON),Q3,0.0003617670753635583
Abaca (dried raw fiber),REGION III (CENTRAL LUZON),Q4,0.00020737208382535423
Abaca (dried raw fiber),REGION IV-A (CALABARZON),Q1,1.80681354886963e-05
Abaca (dried raw fiber),REGION IV-A (CALABARZON),Q2,2.49898998711934e-05
Abaca (dried raw fiber),REGION IV-A (CALABARZON),Q3,3.1138162777764763e-05
Abaca (dried raw fiber),REGION IV-A (CALABARZON),Q4,2.863037803554382e-05
Abaca (dried raw fiber),REGION IX (ZAMBOANGA PENINSULA),Q1,0.001898888372485175
Abaca (dried raw fiber),REGION IX (ZAMBOANGA PENINSULA),Q2,0.0022541617394215585
Abaca (dried raw fiber),REGION IX (ZAMBOANGA PENINSULA),Q3,0.002189569970739875
Abaca (dried raw fiber),REGION IX (ZAMBOANGA PENINSULA),Q4,0.0028261162102625587
Abaca (dried raw fiber),REGION V (BICOL REGION),Q1,0.09320105230711655
Abaca (dried raw fiber),REGION V (BICOL REGION),Q2,0.1021029415284287
Abaca (dried raw fiber),REGION V (BICOL REGION),Q3,0.09328903050312355
Abaca (dried raw fiber),REGION V (BICOL REGION),Q4,0.08271377245432987
Abaca (dried raw fiber),REGION VI (WESTERN VISAYAS),Q1,0.007649535263317533
Abaca (dried raw fiber),REGION VI (WESTERN VISAYAS),Q2,0.008994855956504524
Abaca (dried raw fiber),REGION VI (WESTERN VISAYAS),Q3,0.010284190117561933
Abaca (dried raw fiber),REGION VI (WESTERN VISAYAS),Q4,0.008928744465888566
Abaca (dried raw fiber),REGION VII (CENTRAL VISAYAS),Q1,0.0016262102789288168
Abaca (dried raw fiber),REGION VII (CENTRAL VISAYAS),Q2,0.0018792733373543917
Abaca (dried raw fiber),REGION VII (CENTRAL VISAYAS),Q3,0.0014640499734854834
Abaca (dried raw fiber),REGION VII (CENTRAL VISAYAS),Q4,0.0011409775993708666
Abaca (dried raw fiber),REGION VIII (EASTERN VISAYAS),Q1,0.04639810707878716
Abaca (dried raw fiber),REGION VIII (EASTERN VISAYAS),Q2,0.06501868196721085
Abaca (dried raw fiber),REGION VIII (EASTERN VISAYAS),Q3,0.05521498601214947
Abaca (dried raw fiber),REGION VIII (EASTERN VISAYAS),Q4,0.04814362295569236
Abaca (dried raw fiber),REGION X (NORTHERN MINDANAO),Q1,0.009311495106311834
Abaca (dried raw fiber),REGION X (NORTHERN MINDANAO),Q2,0.01277408738028009
Abaca (dried raw fiber),REGION X (NORTHERN MINDANAO),Q3,0.010673834168746366
Abaca (dried raw fiber),REGION X (NORTHERN MINDANAO),Q4,0.011507772837936234
Abaca (dried raw fiber),REGION XI (DAVAO REGION),Q1,0.02816178174481584
Abaca (dried raw fiber),REGION XI (DAVAO REGION),Q2,0.03145613545745214
Abaca (dried raw fiber),REGION XI (DAVAO REGION),Q3,0.03537402179955845
Abaca (dried raw fiber),REGION XI (DAVAO REGION),Q4,0.03171084780938768
Abaca (dried raw fiber),REGION XII (SOCCSKSARGEN),Q1,0.0034702369843214835
Abaca (dried raw fiber),REGION XII (SOCCSKSARGEN),Q2,0.0034205753810222835
Abaca (dried raw fiber),REGION XII (SOCCSKSARGEN),Q3,0.0031703040336342587
Abaca (dried raw fiber),REGION XII (SOCCSKSARGEN),Q4,0.005113561655320158
Abaca (dried raw fiber),REGION XIII (CARAGA),Q1,0.017214133169207373
Abaca (dried raw fiber),REGION XIII (CARAGA),Q2,0.02955124059613165
Abaca (dried raw fiber),REGION XIII (CARAGA),Q3,0.031008969053952295
Abaca (dried raw fiber),REGION XIII (CARAGA),Q4,0.02512970068317046
Abaca Leafsheath (Umbak),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q1,0.0
Abaca Leafsheath (Umbak),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q2,0.0
Abaca Leafsheath (Umbak),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q3,0.0
Abaca Leafsheath (Umbak),AUTONOMOUS REGION IN MUSLIM MINDANAO,Q4,0.0
Abaca Leafsheath (Umbak),CORDILLERA ADMINISTRATIVE REGION (CAR),Q1,0.0
Abaca Leafsheath (Umbak),CORDILLERA ADMINISTRATIVE REGION (CAR),Q2,0.0
Abaca Leafsheath (Umbak),CORDILLERA ADMINISTRATIVE REGION (CAR),Q3,0.0
Abaca Leafsheath (Umbak),CORDILLERA ADMINISTRATIVE REGION (CAR),Q4,0.0
Abaca Leafsheath (Umbak),MIMAROPA REGION,Q1,0.0
Abaca Leafsheath (Umbak),MIMAROPA REGION,Q2,0.0
Abaca Leafsheath (Umbak),MIMAROPA REGION,Q3,0.0
Abaca Leafsheath (Umbak),MIMAROPA REGION,Q4,0.0
Abaca Leafsheath (Umbak),REGION I (ILOCOS REGION),Q1,0.0
Abaca Leafsheath (Umbak),REGION I (ILOCOS REGION),Q2,0.0
Abaca Leafsheath (Umbak),REGION I (ILOCOS REGION),Q3,0.0
Abaca Leafsheath (Umbak),REGION I (ILOCOS REGION),Q4,0.0
Abaca Leafsheath (Umbak),REGION II (CAGAYAN VALLEY),Q1,0.0
Abaca Leafsheath (Umbak),REGION II (CAGAYAN VALLEY),Q2,0.0
Abaca Leafsheath (Umbak),REGION II (CAGAYAN VALLEY),Q3,0.0
Abaca Leafsheath (Umbak),REGION II (CAGAYAN VALLEY),Q4,0.0
Abaca Leafsheath (Umbak),REGION III (CENTRAL LUZON),Q1,0.0
Abaca Leafsheath (Umbak),REGION III (CENTRAL LUZON),Q2,0.0
Abaca Leafsheath (Umbak),REGION III (CENTRAL LUZON),Q3,0.0
Abaca Leafsheath (Umbak),REGION III (CENTRAL LUZON),Q4,0.0
Abaca Leafsheath (Umbak),REGION IV-A (CALABARZON),Q1,0.0
Abaca Leafsheath (Umbak),REGION IV-A (CALABARZON),Q2,0.0
Abaca Leafsheath (Umbak),REGION IV-A (CALABARZON),Q3,0.0
Abaca Leafsheath (Umbak),REGION IV-A (CALABARZON),Q4,0.0
Abaca Leafsheath (Umbak),REGION IX (ZAMBOANGA PENINSULA),Q1,0.0
Abaca Leafsheath (Umbak),REGION IX (ZAMBOANGA PENINSULA),Q2,9.361192241441667e-06
Abaca Leafsheath (Umbak),REGION IX (ZAMBOANGA PENINSULA),Q3,9.361192241441667e-06
Abaca Leafsheath (Umbak),REGION IX (ZAMBOANGA PENINSULA),Q4,0.0
Abaca Leafsheath (Umbak),REGION V (BICOL REGION),Q1,0.017041832662417933
